symbol_name,traditional_summary_en,theme_tags,emotion_hints,stress_hint,source_origin
snake,"May suggest hidden tension, threat, or transformation.","danger,uncertainty,transformation","fear,anxiety",moderate,zhougong
bridge,"May suggest transition, instability, or crossing into a new phase.","transition,uncertainty,danger","fear,anxiety",moderate,zhougong
water,"May suggest emotions, uncertainty, or emotional overflow.","uncertainty,transformation,loss_of_control","sadness,anxiety,confusion",moderate,zhougong
teeth,"May suggest vulnerability, embarrassment, or loss of confidence.","social_judgment,loss_of_control","shame,anxiety,fear",high,zhougong
house,"May suggest self, security, memory, or inner emotional state.","isolation,uncertainty","sadness,confusion",moderate,zhougong
road,"May suggest direction, life path, or progress.","transition,blocked_progress","hope,anxiety",low,zhougong
baby,"May suggest renewal, growth, or new beginnings.",transformation,"hope,joy",low,zhougong
forest,"May suggest uncertainty, confusion, or hidden fear.","danger,uncertainty","fear,confusion",moderate,zhougong
car,"May suggest control, momentum, or life direction.","loss_of_control,transition","fear,helplessness",high,zhougong
flying,"May suggest freedom, escape, or transcendence.",transformation,"joy,relief",low,zhougong
dragon,"May suggest honor, power, protection, or rising fortune.","power,fortune,protection,transformation","awe,hope,confidence",low,zhougong
phoenix,"May suggest rebirth, harmony, prosperity, or auspicious change.","rebirth,prosperity,harmony,transformation","hope,joy,relief",low,zhougong
tiger,"May suggest strength, rivalry, danger, or protective force.","danger,power,conflict,protection","fear,alertness,confidence",moderate,zhougong
fish,"May suggest abundance, fertility, opportunity, or emotional movement.","prosperity,fertility,opportunity,emotion","hope,joy,anticipation",low,zhougong
mountain,"May suggest obstacles, ambition, endurance, or elevated status.","challenge,achievement,endurance,aspiration","determination,anxiety,hope",moderate,zhougong
rain,"May suggest cleansing, release, overwhelm, or emotional renewal.","release,cleansing,emotion,change","relief,sadness,calm",low,zhougong
sun,"May suggest vitality, clarity, enlightenment, or changing fortune.","clarity,vitality,fortune,change","hope,confidence,anxiety",low,zhougong
moon,"May suggest intuition, completion, family bonds, or feminine influence.","intuition,family,cyclical_change,mystery","calm,longing,uncertainty",low,zhougong
river,"May suggest life flow, travel, wealth, or emotional passage.","flow,journey,emotion,prosperity","calm,hope,uncertainty",low,zhougong
fire,"May suggest passion, transformation, warmth, or destructive conflict.","passion,transformation,danger,energy","anger,excitement,fear",moderate,zhougong
wind,"May suggest change, messages, instability, or unseen forces.","change,news,uncertainty,movement","anticipation,anxiety,restlessness",moderate,zhougong
tree,"May suggest growth, vitality, family continuity, or seasonal change.","growth,family,stability,life_cycle","hope,calm,sadness",low,zhougong
flower,"May suggest beauty, romance, impermanence, or emotional flourishing.","romance,beauty,impermanence,growth","joy,longing,sadness",low,zhougong
fruit,"May suggest reward, health, satisfaction, or ripening outcomes.","reward,health,abundance,fulfillment","joy,contentment,anticipation",low,zhougong
gold,"May suggest wealth, value, success, or envy from others.","wealth,status,success,envy","hope,desire,anxiety",moderate,zhougong
sword,"May suggest authority, conflict, protection, or decisive action.","authority,conflict,protection,power","anger,confidence,fear",moderate,zhougong
mirror,"May suggest self-reflection, truth, illusion, or relationship strain.","self_reflection,truth,illusion,relationship","shame,clarity,anxiety",moderate,zhougong
emperor,"May suggest authority, promotion, judgment, or powerful support.","authority,status,recognition,power","awe,hope,pressure",moderate,zhougong
wedding,"May suggest union, celebration, commitment, or family transition.","union,celebration,commitment,transition","joy,hope,anxiety",low,zhougong
death,"May suggest endings, rebirth, release, or major life transition.","ending,rebirth,transition,release","fear,relief,acceptance",moderate,zhougong
ghost,"May suggest unresolved past issues, ancestral presence, or lingering fear.","past,ancestry,fear,unresolved_emotion","fear,sadness,unease",moderate,zhougong
god,"May suggest blessing, protection, guidance, or moral judgment.","spirituality,protection,guidance,fortune","awe,hope,comfort",low,zhougong
horse,"May suggest momentum, freedom, loyalty, or untamed energy.","freedom,movement,loyalty,energy","excitement,hope,restlessness",low,zhougong
cat,"May suggest independence, deceit, intuition, or hidden threat.","independence,mystery,deception,uncertainty","curiosity,anxiety,fear",moderate,zhougong
bird,"May suggest messages, freedom, harmony, or home-building.","freedom,message,harmony,aspiration","joy,hope,longing",low,zhougong
dog,"May suggest loyalty, protection, alertness, or social bonds.","loyalty,protection,friendship,warning","comfort,confidence,alertness",low,zhougong
insects,"May suggest small irritations, persistent worries, or creeping stress.","annoyance,stress,health_irritation,unease","disgust,anxiety,restlessness",moderate,zhougong
spider,"May suggest entanglement, strategy, creativity, or subtle threat.","entanglement,creativity,control,danger","anxiety,wariness,focus",moderate,zhougong
vegetables,"May suggest health, labor, nourishment, or practical rewards.","health,labor,nourishment,reward","contentment,calm,duty",low,zhougong
drinking_water,"May suggest emotional clarity, replenishment, or fulfilled needs.","clarity,healing,fulfillment,emotion","relief,calm,hope",low,zhougong
swimming,"May suggest navigating emotions, effort, resilience, or overwhelm.","emotion,effort,adaptation,challenge","anxiety,determination,relief",moderate,zhougong
jumping,"May suggest risk-taking, bold movement, or crossing obstacles.","risk,advancement,transition,courage","excitement,anxiety,hope",moderate,zhougong
running,"May suggest urgency, escape, pursuit, or ongoing pressure.","escape,urgency,stress,avoidance","fear,stress,restlessness",high,zhougong
path,"May suggest steady progress, direction, or a chosen course.","direction,progress,stability,journey","hope,calm,anticipation",low,zhougong
dancing,"May suggest celebration, emotional release, unity, or self-expression.","celebration,expression,harmony,release","joy,relief,freedom",low,zhougong
crying,"May suggest emotional release, grief, loneliness, or hidden pain.","release,grief,loneliness,vulnerability","sadness,relief,anxiety",moderate,zhougong
fighting,"May suggest inner conflict, rivalry, stress, or assertion of strength.","conflict,stress,assertion,rivalry","anger,fear,determination",high,zhougong
winning,"May suggest success, recognition, or overcoming difficulty.","success,recognition,achievement,confidence","joy,relief,pride",low,zhougong
losing_valuables,"May suggest insecurity, financial fear, or carelessness.","loss,insecurity,financial_stress,carelessness","anxiety,regret,fear",high,zhougong
traveling,"May suggest change, exploration, uncertainty, or personal transition.","change,exploration,transition,journey","hope,anxiety,curiosity",moderate,zhougong
boat,"May suggest emotional navigation, transition, or vulnerability to instability.","emotion,journey,transition,stability","calm,anxiety,hope",moderate,zhougong
desert,"May suggest endurance, emptiness, deprivation, or spiritual testing.","endurance,scarcity,isolation,hardship","loneliness,determination,fatigue",moderate,zhougong
ocean,"May suggest deep emotions, vastness, peace, or overwhelming forces.","deep_emotion,subconscious,vastness,uncertainty","calm,awe,anxiety",moderate,zhougong
city,"May suggest social opportunity, complexity, ambition, or chaos.","society,opportunity,ambition,chaos","excitement,stress,curiosity",moderate,zhougong
village,"May suggest roots, community support, simplicity, or isolation.","community,roots,simplicity,belonging","comfort,nostalgia,calm",low,zhougong
farm,"May suggest productivity, nourishment, labor, or material security.","productivity,nourishment,labor,security","contentment,hope,duty",low,zhougong
garden,"May suggest personal growth, beauty, privacy, or neglected potential.","growth,beauty,privacy,nurturing","joy,calm,longing",low,zhougong
books,"May suggest learning, wisdom, memory, or preparation.","knowledge,wisdom,preparation,memory","curiosity,focus,hope",low,zhougong
letters,"May suggest communication, news, secrets, or unresolved messages.","communication,news,secrets,connection","anticipation,anxiety,curiosity",moderate,zhougong
jewelry,"May suggest value, status, beauty, or burdens of attachment.","wealth,status,beauty,attachment","desire,joy,anxiety",moderate,zhougong
silver,"May suggest intuition, modest gain, reflection, or possible deception.","intuition,minor_gain,reflection,uncertainty","calm,hope,suspicion",low,zhougong
red,"May suggest passion, danger, urgency, or heightened energy.","passion,danger,energy,warning","excitement,anger,fear",moderate,zhougong
blue,"May suggest calm, trust, depth, or emotional reflection.","calm,trust,depth,reflection","peace,longing,serenity",low,zhougong
green,"May suggest growth, healing, vitality, or envy.","growth,healing,vitality,envy","hope,calm,jealousy",low,zhougong
yellow,"May suggest happiness, alertness, fragility, or caution.","happiness,caution,attention,fragility","joy,alertness,unease",low,zhougong
black,"May suggest mystery, fear, hidden forces, or the unknown.","mystery,fear,unknown,shadow","fear,unease,curiosity",moderate,zhougong
white,"May suggest purity, clarity, mourning, or new beginnings.","purity,clarity,beginning,spirituality","peace,hope,sadness",low,zhougong
pregnancy,"May suggest creation, growth, anticipation, or emotional burden.","creation,growth,anticipation,responsibility","hope,anxiety,tenderness",moderate,zhougong
family,"May suggest support, belonging, conflict, or inherited pressure.","family,support,conflict,belonging","comfort,anxiety,nostalgia",moderate,zhougong
strangers,"May suggest unexpected help, uncertainty, or unfamiliar opportunities.","uncertainty,opportunity,social_contact,change","curiosity,anxiety,hope",moderate,zhougong
monsters,"May suggest inner fears, overwhelming problems, or shadow aspects of self.","fear,shadow_self,threat,stress","fear,panic,helplessness",high,zhougong
angels,"May suggest protection, comfort, moral guidance, or hope.","protection,guidance,spirituality,hope","comfort,hope,awe",low,zhougong
lion,"May suggest strength, leadership, pride, or powerful opposition.","strength,leadership,power,conflict","confidence,fear,awe",moderate,zhougong
elephant,"May suggest wisdom, memory, patience, or steady strength.","wisdom,memory,strength,stability","calm,respect,confidence",low,zhougong
monkey,"May suggest mischief, cleverness, distraction, or deception.","mischief,intellect,deception,instability","amusement,wariness,anxiety",moderate,zhougong
rabbit,"May suggest fertility, vulnerability, speed, or lucky escape.","fertility,vulnerability,speed,fortune","hope,tenderness,alertness",low,zhougong
wolf,"May suggest betrayal, isolation, predatory danger, or survival instinct.","betrayal,isolation,danger,survival","fear,suspicion,determination",high,zhougong
deer,"May suggest grace, gentleness, peace, or elusive opportunity.","grace,peace,gentleness,opportunity","calm,hope,tenderness",low,zhougong
bear,"May suggest raw power, protection, retreat, or suppressed force.","power,protection,introspection,danger","awe,fear,stability",moderate,zhougong
fox,"May suggest cunning, seduction, betrayal, or strategic intelligence.","cunning,deception,intelligence,betrayal","suspicion,curiosity,wariness",moderate,zhougong
cow,"May suggest abundance, nurture, patience, or material support.","abundance,nurture,stability,labor","comfort,gratitude,calm",low,zhougong
