stress_label,emotion_labels,dominant_emotion,recommendation_text
low,"calmness, reflection",calmness,"Keep your routine simple today and continue with one meaningful task at a steady pace."
low,"calmness, gratitude",calmness,"Use this calmer moment to rest well, organize your thoughts, and protect your peace."
low,"calmness, optimism",calmness,"Stay grounded, enjoy the stable mood, and make gradual progress on what matters most."
low,"calmness, contentment",calmness,"Maintain this balance by avoiding unnecessary pressure and keeping your schedule manageable."
low,"calmness, trust",calmness,"Let yourself move slowly and confidently, and focus on small actions that support long-term stability."
low,"calmness, relief",calmness,"Use this sense of relief to reset your energy, tidy your space, and ease into the rest of the day."
low,"calmness, clarity",calmness,"Take advantage of your mental clarity by writing down priorities and following them one by one."
low,"calmness, patience",calmness,"Keep your expectations realistic and continue building progress through simple, steady habits."
low,"calmness, curiosity",calmness,"Explore new ideas gently, but keep your day balanced with rest and familiar routines."
low,"calmness, hope",calmness,"Hold on to what feels hopeful and support it with one practical step today."
low,"reflection, calmness",reflection,"Give yourself quiet time to think, journal briefly, and notice what is going well."
low,"reflection, curiosity",reflection,"Reflect without overanalyzing and choose one small lesson you want to carry forward."
low,"reflection, mild sadness",reflection,"Be gentle with yourself, allow the feeling to pass, and focus on small sources of comfort."
low,"reflection, uncertainty",reflection,"Do not force answers too quickly; sit with the situation and return to what is clear."
low,"reflection, gratitude",reflection,"Write down a few things that feel stable or supportive, and let that shape your next step."
low,"reflection, hope",reflection,"Use your thoughtful mood to make a simple plan that feels realistic and encouraging."
low,"reflection, calmness",reflection,"Give yourself space to slow down and review what you need before making any new commitments."
low,"reflection, patience",reflection,"Keep things light today and allow understanding to grow naturally instead of pushing for certainty."
low,"reflection, acceptance",reflection,"Focus on what you can accept, release what you cannot control, and move gently."
low,"reflection, clarity",reflection,"Take a few minutes to organize your thoughts and decide on one calm, practical action."
low,"joy, calmness",joy,"Enjoy the positive mood, share kindness with someone, and keep your day balanced rather than overfilled."
low,"joy, gratitude",joy,"Let yourself appreciate the good moment and support it with healthy routines and enough rest."
low,"joy, excitement",joy,"Channel your energy into one useful task and avoid overcommitting just because things feel good."
low,"joy, connection",joy,"Spend time with people who feel easy to be around and protect the mood with simple boundaries."
low,"joy, optimism",joy,"Use the positive momentum to start something small and meaningful instead of taking on too much."
low,"joy, calmness",joy,"Celebrate the good feeling in modest ways and keep your routine steady so the balance lasts."
low,"joy, curiosity",joy,"Follow what inspires you today, but leave room for breaks and quiet time as well."
low,"joy, trust",joy,"Move forward with confidence and let your decisions stay simple, clear, and realistic."
low,"joy, contentment",joy,"Enjoy what is already enough today rather than chasing more stimulation or pressure."
low,"joy, gratitude",joy,"Share appreciation, stay present, and support your good mood with healthy structure."
low,"gratitude, calmness",gratitude,"Notice what is helping you right now and strengthen it with one caring action."
low,"gratitude, reflection",gratitude,"Write down what you value most and let that guide your choices today."
low,"gratitude, hope",gratitude,"Use this grounded feeling to focus on what is working and build on it gently."
low,"gratitude, calmness",gratitude,"Express appreciation to someone supportive and keep your environment peaceful."
low,"gratitude, contentment",gratitude,"Let yourself feel satisfied with small progress and avoid unnecessary comparison."
low,"gratitude, clarity",gratitude,"Protect this steady mindset by reducing noise, staying organized, and keeping your plans simple."
low,"gratitude, patience",gratitude,"Continue calmly and trust that consistent effort matters more than speed."
low,"gratitude, trust",gratitude,"Lean into the stable parts of your life and use them as support for your next step."
low,"gratitude, joy",gratitude,"Take a moment to enjoy the present and then return to your priorities with balance."
low,"gratitude, relief",gratitude,"Use this lighter feeling to recover properly and not rush back into stress."
low,"uncertainty, calmness",uncertainty,"If things feel unclear, avoid rushing and give yourself time to gather more information."
low,"uncertainty, reflection",uncertainty,"List what you know, what you do not know, and choose one small step based on facts."
low,"uncertainty, mild anxiety",uncertainty,"Slow down your thinking, reduce extra stimulation, and keep decisions simple for now."
low,"uncertainty, curiosity",uncertainty,"Treat the uncertainty as temporary and explore your options without pressuring yourself."
low,"uncertainty, patience",uncertainty,"Let answers develop gradually and stay close to routines that keep you steady."
low,"uncertainty, calmness",uncertainty,"Do not try to solve everything at once; focus on the next clear action only."
low,"uncertainty, hope",uncertainty,"Stay open to positive outcomes while keeping your plans practical and flexible."
low,"uncertainty, reflection",uncertainty,"Ask yourself what matters most right now and let that narrow your choices."
low,"uncertainty, trust",uncertainty,"Trust yourself to move carefully, even if you do not have every answer yet."
low,"uncertainty, acceptance",uncertainty,"Accept some temporary ambiguity and avoid creating pressure where it is not needed."
low,"mild sadness, calmness",sadness,"Be kind to yourself today, rest where you can, and choose one comforting activity."
low,"mild sadness, reflection",sadness,"Let the feeling be present without judging it and write down what might help you feel supported."
low,"mild sadness, gratitude",sadness,"Balance the sadness by noticing one small thing that still feels steady or good."
low,"mild sadness, fatigue",sadness,"Keep your day gentle, lower demands, and make room for quiet recovery."
low,"mild sadness, calmness",sadness,"Reach for simple comfort like warm food, fresh air, or a calm conversation with someone safe."
low,"mild sadness, hope",sadness,"Do not push yourself to feel better instantly; take one soft, supportive step at a time."
low,"mild sadness, reflection",sadness,"Protect your energy and avoid filling the day with too many obligations."
low,"mild sadness, uncertainty",sadness,"If your mood feels heavy, stay close to routine and avoid major emotional decisions today."
low,"mild sadness, patience",sadness,"Allow yourself time, keep expectations low, and focus on steady self-care."
low,"mild sadness, calmness",sadness,"Let rest, gentle structure, and kindness to yourself be enough for today."
medium,"anxiety, worry",anxiety,"Slow your pace, pick one priority, and avoid trying to solve every problem at the same time."
medium,"anxiety, tension",anxiety,"Pause for a few deep breaths, reduce unnecessary input, and focus on what is within your control."
medium,"anxiety, uncertainty",anxiety,"Write down your worries, separate real tasks from imagined outcomes, and handle one task first."
medium,"anxiety, frustration",anxiety,"Take a short break before reacting, then return with a simpler plan and calmer expectations."
medium,"anxiety, fear",anxiety,"Ground yourself in the present by naming what is real right now and limiting worst-case thinking."
medium,"anxiety, overwhelm",anxiety,"Reduce your to-do list to the next two important steps and leave the rest for later."
medium,"anxiety, fatigue",anxiety,"Protect your energy, avoid overcommitting, and choose steady progress over pressure."
medium,"anxiety, sadness",anxiety,"Reach out to someone you trust, even briefly, so you do not carry everything alone."
medium,"anxiety, confusion",anxiety,"Ask for clarification where needed and do not force rushed decisions under stress."
medium,"anxiety, irritability",anxiety,"Take space before difficult conversations and return only when your body feels calmer."
medium,"worry, anxiety",worry,"Limit repeated checking and overthinking, and give yourself a set time to review concerns calmly."
medium,"worry, uncertainty",worry,"Make a small plan for what you can act on today and let the rest wait."
medium,"worry, sadness",worry,"Balance concern with comfort by keeping close to routine and supportive people."
medium,"worry, fear",worry,"Check facts before assuming the worst and focus on practical preparation instead of spiraling."
medium,"worry, tension",worry,"Relax your body with a short walk or breathing exercise before returning to the issue."
medium,"worry, frustration",worry,"Do not fight every thought; write concerns down and choose one response that is useful."
medium,"worry, confusion",worry,"Simplify the problem into parts and deal with only the next piece for now."
medium,"worry, fatigue",worry,"Rest before making important decisions if your mind feels tired and repetitive."
medium,"worry, overwhelm",worry,"Reduce noise, pause multitasking, and finish one manageable task to rebuild momentum."
medium,"worry, guilt",worry,"Be fair to yourself, review what is actually your responsibility, and let go of the rest."
medium,"frustration, tension",frustration,"Take a pause before reacting, lower the pressure, and return to the problem with a clearer mind."
medium,"frustration, anger",frustration,"Channel the tension into a constructive action, such as organizing, walking, or writing things out."
medium,"frustration, anxiety",frustration,"Notice what is making you feel blocked and adjust one expectation to something more realistic."
medium,"frustration, confusion",frustration,"Ask for clearer information and avoid pushing forward when the situation is still unclear."
medium,"frustration, fatigue",frustration,"Rest first if your irritation is rising from exhaustion rather than the problem itself."
medium,"frustration, sadness",frustration,"Be honest about what is not working, but speak to yourself with patience instead of harshness."
medium,"frustration, disappointment",frustration,"Shift focus from what failed to what you can repair or improve right now."
medium,"frustration, overwhelm",frustration,"Break the task into smaller steps and stop measuring yourself against impossible standards."
medium,"frustration, worry",frustration,"Do one calming activity before the next decision so you do not act from pressure alone."
medium,"frustration, irritability",frustration,"Protect your boundaries and postpone unnecessary conflict until you feel steadier."
medium,"sadness, fatigue",sadness,"Keep your day simple, lower your demands, and choose a few gentle tasks instead of pushing hard."
medium,"sadness, anxiety",sadness,"Support your mood with structure, fresh air, and one safe conversation rather than isolation."
medium,"sadness, loneliness",sadness,"Reach out to a trusted person, even with a short message, and let yourself receive connection."
medium,"sadness, disappointment",sadness,"Acknowledge the hurt honestly and then focus on one caring thing you can do for yourself."
medium,"sadness, reflection",sadness,"Journal what feels heavy and what kind of support or relief would help most right now."
medium,"sadness, worry",sadness,"Avoid ruminating late into the day and give yourself a clear stopping point for stressful thoughts."
medium,"sadness, confusion",sadness,"Do not force clarity through pressure; rest your mind and return to the issue more gently."
medium,"sadness, guilt",sadness,"Speak to yourself with fairness and ask whether your self-blame is fully justified."
medium,"sadness, fear",sadness,"Stay close to safe routines and remind yourself that emotions can be strong without being permanent."
medium,"sadness, overwhelm",sadness,"Make your environment calmer, reduce demands, and focus only on basic care for now."
medium,"anger, frustration",anger,"Step back before speaking, release some physical tension, and avoid reacting from the peak of emotion."
medium,"anger, tension",anger,"Take space from the trigger if possible and return only when you can speak clearly and calmly."
medium,"anger, anxiety",anger,"Name what feels threatened or unfair and choose a response that protects you without escalating."
medium,"anger, disappointment",anger,"Focus on the specific issue instead of attacking yourself or others broadly."
medium,"anger, hurt",anger,"Notice the pain under the anger and decide whether you need a boundary, a break, or a conversation."
medium,"anger, confusion",anger,"Clarify the facts before assuming intent, especially if your emotions are running high."
medium,"anger, guilt",anger,"If you reacted sharply, pause, repair what you can, and then reflect on what triggered you."
medium,"anger, overwhelm",anger,"Reduce stimulation, lower your voice, and postpone hard discussions until your body settles."
medium,"anger, sadness",anger,"Allow the anger to inform you, but not control you; choose one constructive next step."
medium,"anger, fear",anger,"Ground yourself first and remember that safety and clarity matter more than winning the moment."
