symbol_name,default_stress,default_recommendation,related_recommendations
snake,low,"Stay cautious and reflect before reacting.","pause and observe|avoid impulsive decisions|review hidden worries|protect your boundaries|write down concerns|talk to someone you trust|reduce overstimulation|rest before major choices|watch for mixed signals|focus on steady action"
bridge,low,"Move forward carefully and focus on smooth transitions.","take one step at a time|finish pending tasks|prepare for change|stay flexible|ask for support|avoid rushing transitions|check practical details|keep communication clear|focus on stability|trust gradual progress"
water,low,"Check in with your emotions and slow down.","rest quietly|journal your feelings|drink water|take a walk|avoid emotional overload|practice breathing|reduce noise and stress|seek clarity before acting|allow time to recover|focus on calm routines"
teeth,low,"Take care of stress and avoid overthinking social concerns.","rest your mind|speak gently|avoid self-criticism|double-check communication|reduce anxiety triggers|take care of health basics|pause before difficult conversations|protect confidence|simplify commitments|get enough sleep"
house,low,"Focus on security, comfort, and your personal space.","tidy your environment|rest at home|strengthen routines|spend time with family|protect your energy|address small problems early|create calm spaces|review home responsibilities|reduce conflict|focus on stability"
road,low,"Keep going steadily and trust gradual progress.","set one clear goal|break plans into steps|avoid distractions|review your direction|stay patient|keep routines consistent|track small wins|adjust plans calmly|avoid comparing yourself|continue forward"
baby,low,"Nurture new beginnings patiently.","protect new ideas|rest and recover|move gently|ask for support|focus on growth|avoid rushing results|keep plans simple|be kind to yourself|build healthy routines|celebrate small progress"
forest,low,"Slow down and seek clarity before making decisions.","simplify choices|avoid unnecessary risks|pause and assess|ask for guidance|write down priorities|reduce confusion|focus on what is known|stay grounded|rest before deciding|take one path at a time"
car,low,"Regain control by slowing the pace.","avoid rushing|review responsibilities|reduce pressure|focus on one task|rest before travel|check your plans|set boundaries|stay alert to stress|simplify decisions|choose safety first"
flying,low,"Use this as a reminder to trust your potential.","think bigger|keep perspective|act with confidence|stay grounded while dreaming|pursue freedom wisely|explore new options|release unnecessary fear|protect your energy|balance vision with action|move toward growth"
dragon,low,"Lean into confidence and positive momentum.","act with courage|take leadership calmly|accept opportunities|stay humble|protect good fortune|build long-term plans|listen to wise advice|support your family|focus on growth|use influence responsibly"
phoenix,low,"Welcome renewal and trust positive change.","let go of the past|begin again calmly|embrace transformation|focus on healing|restore confidence|make a fresh plan|keep hope alive|choose constructive habits|accept support|look for opportunities"
tiger,low,"Stay alert and handle conflicts with composure.","avoid unnecessary confrontation|protect your position|read the room carefully|hold firm boundaries|act with confidence|prepare for competition|choose battles wisely|stay calm under pressure|avoid pride-driven reactions|focus on self-control"
fish,low,"Expect gradual gains and keep working steadily.","follow opportunities|stay consistent|protect resources|nurture family ties|be open to abundance|act patiently|continue your efforts|watch for growth signs|remain adaptable|appreciate progress"
mountain,low,"Persist steadily and do not fear hard work.","take the long view|climb step by step|stay disciplined|accept challenges calmly|pace yourself|protect your energy|keep goals realistic|trust effort over speed|rest when needed|continue upward"
rain,low,"Allow emotional release and welcome relief.","let stress wash through|rest indoors if needed|reflect quietly|release old worries|start fresh|breathe deeply|reduce emotional pressure|keep a gentle routine|find comfort|accept cleansing change"
sun,low,"Use this as encouragement to seek clarity and act openly.","start the day with purpose|make clear decisions|focus on truth|stay optimistic|avoid secrecy|share your intentions|act with confidence|support others warmly|look for solutions|protect your vitality"
moon,low,"Trust intuition but stay balanced.","reflect before acting|listen to subtle feelings|protect family bonds|rest more|keep emotional balance|avoid mood-driven decisions|observe patterns|seek gentle clarity|honor inner rhythms|move patiently"
river,low,"Go with the flow while staying aware of direction.","adapt to circumstances|avoid forcing outcomes|keep moving|watch emotional currents|focus on steady progress|travel carefully|release resistance|look for natural openings|protect your peace|stay flexible"
fire,low,"Use strong energy carefully and avoid unnecessary arguments.","channel passion productively|pause before reacting|avoid escalation|focus on warmth not conflict|protect relationships|use energy creatively|set clear boundaries|rest if overstimulated|speak calmly|watch temper"
wind,low,"Be open to change and unexpected news.","stay adaptable|listen for updates|avoid rigid plans|prepare for movement|welcome new information|keep balance in change|communicate clearly|travel lightly|release stale habits|stay grounded"
tree,low,"Support steady growth and long-term stability.","invest in roots|care for health|nurture family bonds|think long term|stay patient|grow gradually|maintain routines|protect what is flourishing|accept seasonal change|trust natural development"
flower,low,"Appreciate beauty while remembering things can be temporary.","enjoy the present|express affection|care for relationships|notice small joys|avoid taking beauty for granted|share kindness|protect fragile progress|welcome romance gently|stay grateful|accept change"
fruit,low,"Receive rewards with gratitude and moderation.","enjoy results|share abundance|keep healthy habits|harvest your efforts|stay balanced|avoid excess|notice what is ripening|continue nurturing success|support others|appreciate fulfillment"
gold,low,"Value opportunities but stay humble and careful.","protect resources|avoid envy|plan finances wisely|accept success calmly|stay grounded|do not boast|share carefully|focus on long-term wealth|watch motives around you|use gains responsibly"
sword,low,"Be decisive, but not aggressive.","act with clarity|defend your position calmly|avoid harsh words|make firm choices|cut through confusion|use authority wisely|prepare for conflict if needed|stay disciplined|protect your values|avoid needless force"
mirror,low,"Take time for honest self-reflection.","look at yourself clearly|accept truths gently|avoid self-deception|review relationships|notice projection|seek inner clarity|learn from feedback|stay emotionally honest|repair misunderstandings|focus on self-awareness"
emperor,low,"Respect authority and prepare for important opportunities.","present yourself well|act responsibly|accept leadership tasks|stay respectful|prepare for recognition|be disciplined|seek wise allies|focus on advancement|avoid arrogance|use influence carefully"
wedding,low,"Support harmony and commitment in relationships.","communicate clearly|honor promises|welcome celebration|strengthen partnerships|prepare for change|value family ties|share joy|avoid unnecessary tension|focus on union|build trust"
death,low,"Treat endings as openings for renewal.","let go gently|release old burdens|accept transition|focus on rebirth|simplify what is over|make space for change|honor what has passed|rest and reset|move forward slowly|trust renewal"
ghost,low,"Pay attention to unresolved feelings from the past.","reflect on old issues|seek closure|honor memory|reduce fear with clarity|talk through lingering concerns|clean emotional space|set boundaries with the past|rest deeply|avoid avoidance|focus on healing"
god,low,"Receive this as a sign to trust guidance and act ethically.","stay sincere|follow your values|pray or reflect|accept support|focus on gratitude|act with humility|protect what matters|seek wisdom|move with faith|do good calmly"
horse,low,"Move forward with energy and confidence.","take action|embrace momentum|stay disciplined|travel wisely|protect your freedom|act boldly but calmly|channel energy well|trust your instincts|keep direction clear|avoid restlessness"
cat,low,"Stay observant and trust subtle signals.","protect your independence|notice hidden dynamics|avoid careless trust|move quietly|set boundaries|follow intuition|rest more|stay adaptable|watch for mixed motives|keep your own counsel"
bird,low,"Welcome messages, freedom, and uplifting news.","listen for opportunities|stay light|communicate clearly|think freely|keep hope alive|travel well|share joy|notice signs around you|focus on harmony|remain open"
dog,low,"Trust loyalty and strengthen protective relationships.","lean on trusted people|offer support|protect your circle|stay alert|be dependable|respond calmly to warnings|build trust|show affection|keep routines stable|value companionship"
insects,low,"Handle small problems before they grow.","clean up loose ends|reduce irritations|protect health|avoid overreacting|stay organized|fix minor issues early|rest if bothered|simplify your environment|watch repeated annoyances|be patient"
spider,low,"Be careful with entanglements and hidden complexity.","notice subtle traps|plan carefully|use creativity wisely|avoid manipulative dynamics|untangle one issue at a time|protect your space|watch details|stay patient|avoid overcomplication|act strategically"
vegetables,low,"Focus on health, routine, and practical rewards.","eat simply|care for your body|stick to routines|value steady effort|support your household|do practical tasks|build healthy habits|be patient with results|nourish yourself|stay grounded"
drinking_water,low,"Restore yourself and seek clarity.","hydrate|rest quietly|clear your mind|reduce emotional noise|focus on simple needs|breathe slowly|refresh your routine|choose calm|listen inwardly|support recovery"
swimming,low,"Keep adapting and move through emotions steadily.","pace yourself|stay afloat emotionally|do not resist everything|focus on rhythm|practice endurance|rest when tired|keep direction in mind|accept effort|seek calm waters|continue steadily"
