dream_text,stress_label,label
"I was sitting at my desk, trying to focus as the classroom slowly filled with thick, dark water. The fire alarm blared incessantly, but the doors and windows stayed shut tight; even the stairs dissolved into shadows. Reflections in the mirror started showing not my face, but a hollow mask with no eyes, and the clock’s hands spun backwards, reversing time I couldn’t change. I wanted to run, to find the door, but I was stuck—slowly sinking into despair.",high,2
"In the emergency room, everything was blurred—the faces of the doctors and nurses warped, and the machines beeped irregularly. I kept trying to find a way out, walking past a window where a forest seemed to be growing right outside. But every door I tried opened onto another white corridor, and the clock ticked backwards. I couldn’t tell if I was moving forward or sliding back, caught somewhere in between.",low,0
"A forest I knew was flooded, the river overflown and cold. I felt pressure in my chest as the water passed my waist, the old school building’s door blocked by debris. I was running toward the fire’s glow, yet the flood pulled harder, and I couldn’t escape—the light faded and the clock stopped, leaving me trapped beneath the waves.",high,2
"Inside a dark forest, I stood before a mirror that showed me both lost and found moments. Behind me, a clock ticked softly, and nearby a fire cast flickering shadows. I noticed stairs rising beside the mirror and ascended slowly, each step lighter than the last. At the top, a door opened onto a sunlit path, and I felt a quiet peace wash over me.",low,0
"The school nurse's office felt different today; the familiar layout was mixed with medical machines. Searching through drawers, I found a photo of my younger self smiling. Holding it close gave me courage, and I felt ready to move forward beyond this place.",low,0
"The dream placed me inside an old house with clocks on every wall and mirrors catching fragments of light. Searching, I found a rusty door that opened onto a spiral staircase bathed in soft firelight. Ascending to a quiet attic where water whispered through the open window, I felt a calming resolve settling in, grateful for the journey and the quiet discovery.",low,0
"I climbed the school stairs slowly, the clock ticking overhead like a steady heartbeat. The hallway was dark until I reached a door that opened onto a sunny courtyard. Looking into a mirror resting nearby, I felt content and fully grounded in the peaceful moment.",low,0
"The mountain was cloaked in heavy rain as I tried to follow a faint path through the uprooted forest. But the storm erased footprints, and the thunder rolled as if mocking my efforts. Trees swayed dangerously, and the earth cracked beneath my feet—I couldn’t control the wild forces closing in from every direction.",high,2
"In the school library, the tick of the grandfather clock brought a sense of order to my wandering thoughts. I climbed the wide stairs and found the door to a sunlit room where firelight flickered gently on a mirror’s frame. Outside, calm water shimmered, and I felt a restful clarity settle deep inside me, as if all was finally aligned.",low,0
"I was running through a narrow house, my feet splashing in water pooling near a door that wouldn’t open. A silent owl perched just outside the window, its gaze locked on mine as the clock’s hands spun wildly. The stairs nearby looked unstable, but the owl didn’t fly away no matter how much I wanted to follow it. I hesitated, wondering if the house was safe or a deceptive maze.",medium,1
I got on a big colorful bus that took me to a beautiful beach where I played in the warm sand and smiled.,low,0
"I found myself walking through a dense forest where sunlight filtered softly through the leaves. A river appeared, its clear water inviting me to follow. As I navigated around a fallen tree, a wooden door stood unexpectedly near the bank. Opening it revealed a cozy cabin where I felt safe and calm, grateful for the journey that led me here.",low,0
"I ran through the dark forest, the trees close and suffocating. Somehow, the water behind me rippled without a source, pushing me toward a door that disappeared as I reached it. The stairs beyond crumbled away, leaving me clinging to nothing but cold air and shadow. I realized then that I had no control—only the endless fall into darkness, with a clock ticking away above that I could never stop.",high,2
"The busy street blurred into chaos as buildings seemed to grow and lean inward, trapping me inside a cage of concrete and glass. I tried racing through crowds, but the pavement cracked beneath me and swallowed my feet. A clock on a distant wall counted down endlessly while the lights flickered out; I was lost, unable to stop the slow pull of shadow swallowing the city and myself with it.",high,2
"I wandered deep into the forest, following the gentle rustling of leaves until a graceful deer appeared by a clear stream. It seemed to beckon me forward, guiding me to a hidden door nestled between ancient trees. I pushed it open and found a warm, golden light that wrapped me in peace, reminding me of simpler times. The deer stayed by my side as I sat quietly, feeling grounded and thankful for this calm moment.",low,0
"I found myself at a wedding in a forest clearing where the light changed but the mood stayed uncertain. Water trickled nearby, and a fire burned gently by the side of a house with an open door leading inside. Guests mingled but spoke only in riddles, and the clock seemed to tick backward. I wasn’t sure if I had arrived or was still leaving.",medium,1
"In the dark forest, I searched for a door that might lead home, but each door on the stairs opened to flooded halls. A mirror reflected my doubts while firelight flickered behind the trees, casting shifting shadows. I ran, but toward what was unclear, lost between wanting to find something and fear of the unknown.",high,2
"I ran through the corridors of an old, shadowed school, each door opening onto an endless forest instead of classrooms. The fire in a distant hearth cast contradictory light across shifting stairways, and the clock in the hallway ran backward, confusing my sense of time. I stopped and looked over my shoulder, trying to decide whether to keep running or let the pursuer catch me.",medium,1
"I paced inside a dark house whose windows were black touchscreens showing nothing but static. Every time I glanced at the clock, the numbers changed erratically, and the mirror reflected a pale, defeated version of me clutching a frozen phone. The fire inside sputtered out as the stairs collapsed beneath my feet, leaving me stranded with no way out, a prisoner to malfunctioning technology.",high,2
"I found myself lost inside a dark house, shadows stretching along the hallways. Instead of fear, I accepted the obscurity and searched patiently for a door with a softly glowing handle. Opening it, I stepped outside into bright sunlight and a garden filled with blooming flowers. The contrast between dark and light felt like a promise, giving me hope and peace as I walked through the blossoms.",low,0
"The school building seemed endless, with stairs leading nowhere and doors that closed before I reached them. Water pooled around my feet, rising with every step, and the clock above ticked too fast to follow. In the mirrors lining the hall, I saw myself running, but never moving forward. The fire outside consumed the walls in waves, and I was trapped, losing all control.",high,2
"I chased shadows through the dark forest, my phone’s GPS spinning in endless loops. The glowing screen showed my location shifting farther away from safety with each step. Stairs appeared where none should be, leading to nowhere, and the doors I tried all slammed shut while the phone drained its last light.",high,2
"A lone wolf paced beside the water, its breath visible in the chilly air near an ancient stone door embedded in the forest floor. I hesitated at the base of the stairs leading upward through dense trees, where shadows flickered under a broken clock tower. The mirrors hanging from branches reflected twisted images, and the wolf’s eyes followed me intently but gave no clear direction. I wondered if I should climb or stay where I was, the feeling of being led and lost entwined.",medium,1
"Despite desperately searching the hospital for an exit, I was trapped in a labyrinth of identical rooms and sterile hallways. Time lost meaning as the clock hands spun endlessly, and my footsteps echoed without response. I realized then that I was no longer in control; I was lost in a place that refused to let me go.",high,2
"I found myself in a waiting room where the clock’s ticking echoed louder and louder, yet no one else noticed. The staircase beside me spiraled upward into darkness, but something urged me to stay put. Was I waiting for something or someone? I wasn't sure if hope was nearby or just out of reach.",medium,1
"Water flooded the school corridors until the stairs led to a sky I couldn’t reach. The fire blazed below, while the clock ticked louder inside a cracked mirror. Doors dissolved into mist when I tried to open them; shadows followed my every step. I ran until my breath failed, and the forest of broken branches outside closed in forever.",high,2
"I felt myself falling endlessly through darkness until a blazing eagle soared past, its powerful wings cutting the night. I reached out and grasped its feathers, feeling steady as it carried me above the clouds. When we landed, the sun was rising over a tranquil lake, and I experienced a deep peace born of both strength and trust.",low,0
"The clock in the shadowed house ticked backwards as water filled each room inch by inch, trapping me inside. The door was there but wouldn’t budge, and the stairs I needed to escape were consumed with fire. Mirrors around me shattered without warning, reflecting nothing but my growing despair. Running felt useless; every effort to escape only thrust me deeper into a nightmare I couldn’t control or end.",high,2
"The house I entered was made of glass, reflecting the stormy sky outside. A staircase led to a door that opened onto a forest flooded with water and flickering fireflies. The clock on the wall had no hands, and the mirrors around me shifted, offering no answers. I kept searching, running but never quite reaching something real or certain.",medium,1
"I stumbled lost in a house where the walls pulsed like living beings, and a raven circled endlessly outside the window. The water poured in through broken panes, flooding the floor, and a clock hung crooked, ticking backwards. I searched in vain for the stairs or a way out, but the door vanished under bricks as the raven’s cries grew louder. I was trapped, the darkness closing tight around me.",high,2
"The office hallway stretched endlessly beneath flickering fluorescent lights, a heavy silence broken only by the distant sound of running water. I glanced at a cracked mirror near the elevator, which reflected a stairwell bathed in uncertain light. The door to the exit seemed just out of reach, and the clock’s ticking grew erratic, leaving me caught between hope and doubt.",high,2
"In the middle of a silent school, I found a mirror reflecting not myself but a snarling bear creeping closer every time I blinked. I tried to run, but the hallways shifted, and the fire alarms blared without warning. The clock showed time stopping as I ran out of stairs, and the bear mauled any hope of escape. Trapped inside the glass, I was swallowed by darkness with no way to break free.",high,2
"I ran through the halls of the old school building, the fire alarm blaring but no one else responding. Stairs twisted impossibly, leading nowhere, and I was caught in a maze of smoke and confusion. My reflection in a cracked mirror showed a face I couldn't recognize, and panic overtook me as the flames closed in.",high,2
"I stood at the edge of the campus pond, the water still and reflecting the golden morning light. I walked back inside the library, with a sense of purpose, climbing the stairs to the top floor where the fog of confusion lifted. Finding the clock that marked the exam time, I smiled—it was not a threat but a signal that I was prepared. Peace settled in me, steady and quiet.",low,0
"I attended a birthday party in a sprawling house with endless stairs twisting like a maze. Every time I thought I reached the door, a fire would flicker in the distance, drawing me away again. The dark corners seemed to watch me searching for something I couldn’t name, and the light in the mirror showed faces I couldn't place. I wondered if I was running toward a secret or just running in circles.",medium,1
"In the dimly lit hospital corridor, I hesitated at a locked door but chose to turn the handle gently, discovering it was unlocked after all. Beyond, a quiet room held a flickering fireplace, which seemed out of place but welcoming. The warmth it radiated pulled me into a moment of calm, and I sat down feeling the deliberate pulse of fire and nightlight beneath my skin, anchored in the midst of uncertainty.",low,0
"I was running through a forest shrouded in twilight, searching for a clock tower I remembered. A door appeared hidden behind thick vines and I entered to find stairs that took me up to the clock face glowing softly. Gazing in the mirror, I felt a quiet satisfaction, like I had reclaimed something lost long ago.",medium,1
"I drifted through the school’s empty corridors, walls lined with cracked mirrors and streaked with water. A fire crackled uncertainly far through a door left half-open on the stairwell, where a clock swung back and forth, its rhythmic ticking discordant. I reached toward the threshold but drew back, the world tilting uneasily between dream and reality.",medium,1
"The stage was set for my solo performance, but as soon as I stepped under the spotlight, my voice escaped me, and the script vanished. The audience morphed into shadowy figures, their faces unreadable and cold. I stumbled through the act, unable to recover any lines, until the curtain fell prematurely and I was left frozen in the darkness, unheard and unseen.",medium,1
"I found myself in a familiar classroom where the desks were empty but arranged in a strange, circular pattern. The clock above the board spun wildly and suddenly stopped at an impossible time. When I attempted to open the door to the hallway, it wouldn’t budge, and a soft fire flickered just outside my view. I kept wondering if it was real or just in my mind, but I never truly decided whether to stay or push through the flames.",low,0
