dream_id,dream_text,stress_label,emotion_labels,theme_labels,symbol_labels
1,"At some point, i was lost in a forest but the trees were singing softly.",moderate,"melancholy,protectiveness,unease,amusement","strategy,social_uncertainty,transition","winter,dragon,dancing,head"
2,I found a staircase crumbling underfoot as I was watching helplessly as everything collapsed in a flooded street rising fast. The alarm I felt did not fade quickly. The fear stayed with me all morning.,high,"powerlessness,obsession,anguish","technology_stress,privacy,survival,security","frog,eagle,mosque,watch"
3,"Strangely, i dreamed I had failed at everything but someone handed me a second chance.",moderate,"melancholy,awe,longing,sadness","self_expression,alienation",bird
4,I found a flood rising through the floor as I was collapsing inside a raging flood sweeping through the streets. The shame burned even in daylight. I woke with my heart pounding.,high,"powerlessness,disorientation,instability,urgency,fear","collective_threat,rest","butterfly,elephant,reflection,writing"
5,I was falling from a hospital corridor where all the doors were locked. There was a missing child I could not find. I could not look at the clock for a long time. The shame burned even after waking.,high,"instability,obsession,shock","upheaval,danger,privacy,time_pressure",screen
6,I was trying to communicate in a narrow alley between tall walls and noticed a curious animal watching quietly. I felt the past pressing gently forward.,moderate,"sadness,restlessness,regret","pause,nostalgia_for_past,mystery,urban_healing","kitchen,teeth"
7,The dream began in a lantern-lit courtyard. I was swimming slowly through and came across a colorful butterfly landing on my hand. Something about it made me feel completely at home.,low,"satisfaction,inspiration,awe,relief,tenderness","seasonal_comfort,hidden_message","blood,courtyard,summer"
8,I was exploring peacefully a rooftop garden above the city. There was a warm scarf left on a branch. I carried that peace into the morning. I woke with a sense of belonging.,low,"hope,awe,comfort,serenity,calm","companionship,security,release,learning","market,window,ant,bird"
9,"At some point, i was failing an exam but everyone around me was also failing and we were laughing about it.",moderate,"yearning,confusion,reflection,determination,fatigue","discovery,work_boundary,change,hidden_truth",bread
10,"I found a wall collapsing toward me as I was trying to call for help from a raging flood sweeping through the streets. I woke with a deep, formless dread. I woke with a heavy dread.",high,"dread,rage,powerlessness,desperation","blocked_progress,academic_pressure,survival,instability",spring
11,I was watching from a distance in a half-lit corridor in an old building and noticed a train ticket with no destination. I woke unsure whether it had been a good dream or a bad one. I sensed a change was coming.,moderate,"sadness,wariness,surprise,nostalgia,purpose","unresolved_conflict,strategy,time","owl,elders,legs,gate"
12,I found a charging animal with nowhere to go as I was drowning in a hostile crowd pressing from all sides. The alarm I felt did not fade quickly. I woke feeling utterly exhausted.,high,"pressure,rage,humiliation","urgency,academic_pressure,absurdity","teeth,praying,heart,fruit"
